Jakarta,Surabaya,Semarang,Cilacap
0.4575236,1.388189,0.7175125,0.8319208
0.5305762,1.141638,0.7747211,0.8994172
0.614552,0.9584803,0.8261154,0.9777808
0.7101832,0.8614347,0.8505813,1.04118
0.8150963,0.8546788,0.8416018,1.070252
0.9207474,0.9239449,0.8020498,1.057038
1.012515,1.040996,0.7336913,1.006991
1.074,1.171405,0.6341212,0.9375596
1.093113,1.28366,0.5052224,0.8737185
1.065872,1.357283,0.3643172,0.8414873
0.9957804,1.387855,0.2447535,0.861043
0.8904157,1.38762,0.1815545,0.9410875
0.7589295,1.381465,0.1918459,1.075864
0.6124644,1.399251,0.2656324,1.245591
0.4657954,1.466453,0.3742372,1.420301
0.3365452,1.5956,0.4887875,1.566216
0.2403872,1.780808,0.5932542,1.653247
0.1848957,1.997059,0.6829587,1.661836
0.166935,2.204603,0.7537396,1.58757
0.1762177,2.357634,0.79541,1.442437
0.2025584,2.415176,0.7977736,1.252401
0.2412287,2.351545,0.7636613,1.051812
0.2926465,2.163695,0.714904,0.8759439
0.3578283,1.873502,0.6825278,0.7533288
0.4347337,1.524191,0.6870432,0.6997328
0.5191938,1.171634,0.7246785,0.7151375
0.6090329,0.8724849,0.7710471,0.7844503
0.7062398,0.671954,0.7987993,0.8817642
0.8136286,0.5942299,0.7940938,0.9771508
0.9279716,0.6378556,0.758999,1.044313
1.035841,0.7772625,0.7008239,1.06729
1.116861,0.9700357,0.6214478,1.044485
1.152824,1.168114,0.5185403,0.9890386
1.135883,1.330072,0.3975205,0.9253775
1.069806,1.431371,0.2810462,0.8827465
0.964466,1.469901,0.2037901,0.8872736
0.8295783,1.465405,0.1937442,0.9545401
0.6736427,1.452867,0.2545468,1.084513
0.5081153,1.471601,0.3636048,1.260245
0.3509391,1.552885,0.4874632,1.450767
0.2236243,1.709416,0.6011744,1.617637
0.1423006,1.929524,0.6960238,1.723673
0.1096624,2.177839,0.7718039,1.741805
0.1150178,2.402485,0.8244267,1.661904
0.1429892,2.547222,0.8432006,1.493863
0.1838627,2.565525,0.8212986,1.266063
0.237238,2.43308,0.7685966,1.019475
0.3069152,2.155452,0.7123271,0.7987065
0.3929834,1.768794,0.6817544,0.6420684
0.4892165,1.33318,0.6884294,0.5730563
0.5881234,0.9200593,0.7186486,0.5952731
0.687946,0.5967091,0.7445456,0.6921239
0.7934932,0.4115337,0.7440516,0.8313579
0.9085832,0.3837676,0.712847,0.9734087
1.026452,0.500145,0.6598083,1.081491
1.127461,0.7193722,0.5932307,1.13096
1.187472,0.9832668,0.5130513,1.115553
1.190749,1.231729,0.4172169,1.04893
1.137056,1.417772,0.3151586,0.9609732
1.037866,1.518728,0.2331397,0.8897654
0.9064294,1.540793,0.2031329,0.8711704
